Importance,Level,Job Zone,Code,Occupation
64,68,3,49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door"
64,67,5,19-3033.00,Clinical and Counseling Psychologists
64,59,2,51-8013.00,Power Plant Operators
64,58,3,31-9091.00,Dental Assistants
64,58,4,27-3023.00,"News Analysts, Reporters, and Journalists"
64,58,5,25-1126.00,"Philosophy and Religion Teachers, Postsecondary"
64,57,3,49-3011.00,Aircraft Mechanics and Service Technicians
64,57,3,31-2011.00,Occupational Therapy Assistants
64,56,2,43-4071.00,File Clerks
64,55,2,51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"
64,54,2,51-8013.03,Biomass Plant Technicians
64,54,2,41-2022.00,Parts Salespersons
64,53,4,11-9081.00,Lodging Managers
64,52,2,51-3092.00,Food Batchmakers
64,48,3,39-1022.00,First-Line Supervisors of Personal Service Workers
64,47,2,53-3033.00,Light Truck Drivers
64,46,2,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators
64,44,2,49-9052.00,Telecommunications Line Installers and Repairers
63,69,4,11-3051.01,Quality Control Systems Managers
63,67,5,25-9021.00,Farm and Home Management Educators
