Importance,Job Zone,Code,Occupation
78,3,29-1124.00,Radiation Therapists
78,3,47-1011.03,Solar Energy Installation Managers
78,5,25-2051.00,"Special Education Teachers, Preschool"
78,3,29-9093.00,Surgical Assistants
78,3,49-9064.00,Watch and Clock Repairers
77,5,29-1071.01,Anesthesiologist Assistants
77,5,29-1129.01,Art Therapists
77,2,49-3021.00,Automotive Body and Related Repairers
77,4,11-3051.04,Biomass Power Plant Managers
77,4,13-1199.04,Business Continuity Planners
77,3,35-1011.00,Chefs and Head Cooks
77,3,19-4031.00,Chemical Technicians
77,3,17-3022.00,Civil Engineering Technologists and Technicians
77,4,21-1094.00,Community Health Workers
77,4,11-9199.02,Compliance Managers
77,3,51-9162.00,Computer Numerically Controlled Tool Programmers
77,3,51-6092.00,Fabric and Apparel Patternmakers
77,3,39-1022.00,First-Line Supervisors of Personal Service Workers
77,2,41-1011.00,First-Line Supervisors of Retail Sales Workers
77,2,53-7071.00,Gas Compressor and Gas Pumping Station Operators
77,4,21-1091.00,Health Education Specialists
77,4,11-3051.00,Industrial Production Managers
77,2,47-2132.00,"Insulation Workers, Mechanical"
77,4,25-2012.00,"Kindergarten Teachers, Except Special Education"
77,3,49-3052.00,Motorcycle Mechanics
77,3,29-2033.00,Nuclear Medicine Technologists
77,2,11-9131.00,Postmasters and Mail Superintendents
77,3,13-2082.00,Tax Preparers
77,3,49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers"
77,3,51-4111.00,Tool and Die Makers
77,4,11-3071.00,"Transportation, Storage, and Distribution Managers"
76,3,11-3012.00,Administrative Services Managers
76,3,33-3021.00,Detectives and Criminal Investigators
76,3,29-2032.00,Diagnostic Medical Sonographers
76,4,27-4032.00,Film and Video Editors
76,3,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
76,4,11-1021.00,General and Operations Managers
76,4,13-1071.00,Human Resources Specialists
76,3,49-9041.00,Industrial Machinery Mechanics
76,3,29-2052.00,Pharmacy Technicians
76,5,27-1027.00,Set and Exhibit Designers
76,4,19-4061.00,Social Science Research Assistants
76,4,17-2199.11,Solar Energy Systems Engineers
76,3,17-3031.00,Surveying and Mapping Technicians
76,3,33-3052.00,Transit and Railroad Police
76,4,53-6051.00,Transportation Inspectors
76,3,11-9199.09,Wind Energy Operations Managers
75,3,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists
75,4,27-2032.00,Choreographers
75,4,19-1031.00,Conservation Scientists
75,3,47-4011.00,Construction and Building Inspectors
75,4,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers"
75,3,33-1011.00,First-Line Supervisors of Correctional Officers
75,2,49-9031.00,Home Appliance Repairers
75,3,43-4111.00,"Interviewers, Except Eligibility and Loan"
75,4,17-1012.00,Landscape Architects
75,3,51-4041.00,Machinists
75,4,11-2021.00,Marketing Managers
75,3,19-4051.00,Nuclear Technicians
75,4,19-1031.03,Park Naturalists
75,3,51-8012.00,Power Distributors and Dispatchers
75,4,29-1141.00,Registered Nurses
75,4,13-1041.07,Regulatory Affairs Specialists
75,3,49-9081.00,Wind Turbine Service Technicians
74,4,13-2023.00,Appraisers and Assessors of Real Estate
74,5,25-4011.00,Archivists
74,4,11-9121.01,Clinical Research Coordinators
74,3,49-9092.00,Commercial Divers
74,5,25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
74,5,29-1031.00,Dietitians and Nutritionists
74,3,17-3012.00,Electrical and Electronics Drafters
74,5,19-2041.02,Environmental Restoration Planners
74,2,47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters"
74,3,49-3041.00,Farm Equipment Mechanics and Service Technicians
74,3,33-2011.00,Firefighters
74,3,51-1011.00,First-Line Supervisors of Production and Operating Workers
74,3,51-8013.04,Hydroelectric Plant Technicians
74,4,41-3021.00,Insurance Sales Agents
74,5,25-4022.00,Librarians and Media Collections Specialists
74,4,11-9199.08,Loss Prevention Managers
74,5,21-1014.00,Mental Health Counselors
74,5,29-9099.01,Midwives
74,3,29-2081.00,"Opticians, Dispensing"
74,2,51-9151.00,Photographic Process Workers and Processing Machine Operators
74,2,47-5012.00,"Rotary Drill Operators, Oil and Gas"
74,5,29-1127.00,Speech-Language Pathologists
74,4,13-1151.00,Training and Development Specialists
73,2,33-9011.00,Animal Control Workers
73,3,27-4011.00,Audio and Video Technicians
73,4,25-2023.00,"Career/Technical Education Teachers, Middle School"
73,4,11-9021.00,Construction Managers
73,3,49-2092.00,"Electric Motor, Power Tool, and Related Repairers"
73,4,25-2021.00,"Elementary School Teachers, Except Special Education"
73,4,19-4043.00,"Geological Technicians, Except Hydrologic Technicians"
73,3,47-4041.00,Hazardous Materials Removal Workers
73,4,13-2072.00,Loan Officers
73,2,31-9093.00,Medical Equipment Preparers
73,2,49-9044.00,Millwrights
73,3,51-7031.00,"Model Makers, Wood"
73,2,51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
73,3,49-9063.00,Musical Instrument Repairers and Tuners
73,4,13-1199.06,Online Merchants
73,3,29-2099.08,Patient Representatives
73,3,31-9097.00,Phlebotomists
73,4,11-9141.00,"Property, Real Estate, and Community Association Managers"
73,4,27-3031.00,Public Relations Specialists
73,2,43-5031.00,Public Safety Telecommunicators
73,4,19-1031.02,Range Managers
73,4,39-9032.00,Recreation Workers
73,4,25-2058.00,"Special Education Teachers, Secondary School"
73,5,21-1011.00,Substance Abuse and Behavioral Disorder Counselors
73,5,19-1023.00,Zoologists and Wildlife Biologists
72,5,25-2059.01,Adapted Physical Education Specialists
72,4,11-2011.00,Advertising and Promotions Managers
72,3,27-4012.00,Broadcast Technicians
72,3,29-2031.00,Cardiovascular Technologists and Technicians
72,3,49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles"
72,3,27-1022.00,Fashion Designers
72,4,11-3031.00,Financial Managers
72,2,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand"
72,4,19-1032.00,Foresters
72,5,21-1022.00,Healthcare Social Workers
72,4,27-1025.00,Interior Designers
72,3,49-9043.00,"Maintenance Workers, Machinery"
72,2,49-9095.00,Manufactured Building and Mobile Home Installers
72,4,27-2041.00,Music Directors and Composers
72,4,27-3023.00,"News Analysts, Reporters, and Journalists"
72,3,33-3051.00,Police and Sheriff's Patrol Officers
72,3,51-9195.05,"Potters, Manufacturing"
72,3,43-5061.00,"Production, Planning, and Expediting Clerks"
