Context,Job Zone,Code,Occupation
73,3,11-3012.00,Administrative Services Managers
73,4,17-2021.00,Agricultural Engineers
73,2,45-2011.00,Agricultural Inspectors
73,4,13-2023.00,Appraisers and Assessors of Real Estate
73,2,39-6011.00,Baggage Porters and Bellhops
73,3,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks"
73,3,27-4012.00,Broadcast Technicians
73,5,29-1141.04,Clinical Nurse Specialists
73,4,11-3021.00,Computer and Information Systems Managers
73,4,15-1299.08,Computer Systems Engineers/Architects
73,1,53-7011.00,Conveyor Operators and Tenders
73,2,35-3041.00,"Food Servers, Nonrestaurant"
73,2,53-7071.00,Gas Compressor and Gas Pumping Station Operators
73,4,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
73,2,43-4121.00,"Library Assistants, Clerical"
73,3,19-4051.02,Nuclear Monitoring Technicians
73,4,19-5011.00,Occupational Health and Safety Specialists
73,2,43-3051.00,Payroll and Timekeeping Clerks
73,4,17-2171.00,Petroleum Engineers
73,2,43-5052.00,Postal Service Mail Carriers
72,3,43-4011.00,Brokerage Clerks
72,4,21-1094.00,Community Health Workers
72,4,11-3111.00,Compensation and Benefits Managers
72,2,47-2061.00,Construction Laborers
72,3,49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door"
72,2,51-9193.00,Cooling and Freezing Equipment Operators and Tenders
72,4,13-1051.00,Cost Estimators
72,5,29-2011.02,Cytotechnologists
72,3,49-3041.00,Farm Equipment Mechanics and Service Technicians
72,2,13-1074.00,Farm Labor Contractors
72,2,47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles"
72,3,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists"
72,5,25-1071.00,"Health Specialties Teachers, Postsecondary"
72,5,21-1022.00,Healthcare Social Workers
72,1,47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons"
72,2,51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders"
72,3,29-2052.00,Pharmacy Technicians
72,2,49-3092.00,Recreational Vehicle Service Technicians
72,2,47-2181.00,Roofers
72,3,49-9097.00,Signal and Track Switch Repairers
72,2,51-2061.00,Timing Device Assemblers and Adjusters
72,3,53-6041.00,Traffic Technicians
72,4,11-3031.01,Treasurers and Controllers
71,3,47-2011.00,Boilermakers
71,4,19-2031.00,Chemists
71,3,13-1041.06,Coroners
71,2,51-2031.00,Engine and Other Machine Assemblers
71,1,35-2021.00,Food Preparation Workers
71,3,19-4013.00,Food Science Technicians
71,4,21-1091.00,Health Education Specialists
71,5,25-1125.00,"History Teachers, Postsecondary"
71,2,43-9041.00,Insurance Claims and Policy Processing Clerks
71,4,33-3021.06,Intelligence Analysts
71,3,31-9092.00,Medical Assistants
71,2,43-5041.00,"Meter Readers, Utilities"
71,4,27-2041.00,Music Directors and Composers
71,3,49-9063.00,Musical Instrument Repairers and Tuners
71,3,31-2012.00,Occupational Therapy Aides
71,3,29-2081.00,"Opticians, Dispensing"
71,2,31-1122.00,Personal Care Aides
71,2,31-1133.00,Psychiatric Aides
71,4,25-2058.00,"Special Education Teachers, Secondary School"
71,2,47-2221.00,Structural Iron and Steel Workers
71,2,51-6052.00,"Tailors, Dressmakers, and Custom Sewers"
70,3,33-3011.00,Bailiffs
70,5,19-1029.04,Biologists
70,4,19-1031.00,Conservation Scientists
70,2,35-2012.00,"Cooks, Institution and Cafeteria"
70,3,29-2051.00,Dietetic Technicians
70,4,17-2071.00,Electrical Engineers
70,2,51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
70,2,47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters"
70,4,17-2112.00,Industrial Engineers
70,3,51-9071.00,Jewelers and Precious Stone and Metal Workers
70,3,25-4031.00,Library Technicians
70,5,11-9111.00,Medical and Health Services Managers
70,3,49-9062.00,Medical Equipment Repairers
70,3,31-9094.00,Medical Transcriptionists
70,4,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education"
70,3,29-2099.01,Neurodiagnostic Technologists
70,5,25-1126.00,"Philosophy and Religion Teachers, Postsecondary"
70,4,17-2072.01,Radio Frequency Identification Device Specialists
70,3,53-5031.00,Ship Engineers
70,4,27-2012.04,Talent Directors
70,2,47-2044.00,Tile and Stone Setters
70,4,11-3131.00,Training and Development Managers
70,2,33-9093.00,Transportation Security Screeners
69,2,51-9191.00,Adhesive Bonding Machine Operators and Tenders
69,5,19-1011.00,Animal Scientists
69,3,49-2091.00,Avionics Technicians
69,3,51-9162.00,Computer Numerically Controlled Tool Programmers
69,2,41-9011.00,Demonstrators and Product Promoters
69,2,47-5023.00,"Earth Drillers, Except Oil and Gas"
69,4,17-2072.00,"Electronics Engineers, Except Computer"
69,3,31-9099.02,Endoscopy Technicians
69,4,19-2041.00,"Environmental Scientists and Specialists, Including Health"
69,5,25-9021.00,Farm and Home Management Educators
69,2,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers
69,2,51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers"
69,5,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary"
69,4,21-1093.00,Social and Human Service Assistants
69,3,27-4014.00,Sound Engineering Technicians
69,3,17-3031.00,Surveying and Mapping Technicians
69,2,51-4194.00,"Tool Grinders, Filers, and Sharpeners"
69,3,41-3041.00,Travel Agents
68,2,39-2011.00,Animal Trainers
68,4,17-2141.02,Automotive Engineers
68,2,41-2011.00,Cashiers
68,2,51-9011.00,Chemical Equipment Operators and Tenders
68,2,53-7061.00,Cleaners of Vehicles and Equipment
68,3,13-1041.00,Compliance Officers
68,3,15-1232.00,Computer User Support Specialists
68,4,13-2041.00,Credit Analysts
68,3,31-9091.00,Dental Assistants
68,2,51-9081.00,Dental Laboratory Technicians
68,3,47-4011.01,Energy Auditors
68,1,35-3023.00,Fast Food and Counter Workers
68,4,19-1032.00,Foresters
68,2,51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic"
68,4,15-1211.01,Health Informatics Specialists
68,2,31-1121.00,Home Health Aides
68,2,37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"
68,5,25-1112.00,"Law Teachers, Postsecondary"
68,4,13-1081.00,Logisticians
68,3,51-4041.00,Machinists
68,2,51-9083.00,Ophthalmic Laboratory Technicians
68,2,53-6061.00,Passenger Attendants
68,5,29-1127.00,Speech-Language Pathologists
68,4,17-2051.01,Transportation Engineers
67,4,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
67,5,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
67,5,29-1129.01,Art Therapists
