Importance,Job Zone,Code,Occupation
72,5,15-2041.01,Biostatisticians
72,4,11-9199.11,Brownfield Redevelopment Specialists and Site Managers
72,4,21-1021.00,"Child, Family, and School Social Workers"
72,4,11-3111.00,Compensation and Benefits Managers
72,4,19-1031.00,Conservation Scientists
72,2,41-1011.00,First-Line Supervisors of Retail Sales Workers
72,4,11-9179.01,Fitness and Wellness Coordinators
72,5,17-2141.01,Fuel Cell Engineers
72,3,11-9071.00,Gambling Managers
72,5,17-2112.01,Human Factors Engineers and Ergonomists
72,5,19-2041.03,Industrial Ecologists
72,3,17-3026.00,Industrial Engineering Technologists and Technicians
72,4,27-1025.00,Interior Designers
72,2,51-4192.00,"Layout Workers, Metal and Plastic"
72,3,43-4131.00,Loan Interviewers and Clerks
72,4,29-2011.00,Medical and Clinical Laboratory Technologists
72,3,31-2011.00,Occupational Therapy Assistants
72,2,49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics
72,2,47-2141.00,"Painters, Construction and Maintenance"
72,3,23-2011.00,Paralegals and Legal Assistants
72,2,43-3051.00,Payroll and Timekeeping Clerks
72,3,29-2052.00,Pharmacy Technicians
72,2,43-5051.00,Postal Service Clerks
72,1,51-6021.00,"Pressers, Textile, Garment, and Related Materials"
72,3,33-9021.00,Private Detectives and Investigators
72,3,49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers"
72,4,11-9199.01,Regulatory Affairs Managers
72,2,51-6051.00,"Sewers, Hand"
72,4,27-2012.04,Talent Directors
72,2,53-7073.00,Wellhead Pumpers
71,2,53-1041.00,Aircraft Cargo Handling Supervisors
71,4,11-3051.03,Biofuels Production Managers
71,3,47-2011.00,Boilermakers
71,3,53-5021.00,"Captains, Mates, and Pilots of Water Vessels"
71,5,29-1011.00,Chiropractors
71,3,17-3022.00,Civil Engineering Technologists and Technicians
71,3,51-9161.00,Computer Numerically Controlled Tool Operators
71,4,13-2041.00,Credit Analysts
71,2,43-4051.00,Customer Service Representatives
71,1,41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers"
71,4,27-3041.00,Editors
71,3,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians
71,3,49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles"
71,5,19-2041.02,Environmental Restoration Planners
71,4,19-2041.00,"Environmental Scientists and Specialists, Including Health"
71,4,13-1041.03,Equal Opportunity Representatives and Officers
71,2,51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
71,2,51-2051.00,Fiberglass Laminators and Fabricators
71,3,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators"
71,3,33-1011.00,First-Line Supervisors of Correctional Officers
71,4,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
71,4,15-1299.02,Geographic Information Systems Technologists and Technicians
71,2,47-2121.00,Glaziers
71,2,43-9041.00,Insurance Claims and Policy Processing Clerks
71,1,37-3011.00,Landscaping and Groundskeeping Workers
71,4,17-2112.03,Manufacturing Engineers
71,5,21-1013.00,Marriage and Family Therapists
71,3,31-9092.00,Medical Assistants
71,4,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers"
71,3,51-7031.00,"Model Makers, Wood"
71,3,29-2099.01,Neurodiagnostic Technologists
71,3,51-8011.00,Nuclear Power Reactor Operators
71,2,47-2151.00,Pipelayers
71,3,33-3051.00,Police and Sheriff's Patrol Officers
71,3,51-5111.00,Prepress Technicians and Workers
71,4,21-1092.00,Probation Officers and Correctional Treatment Specialists
71,3,43-5061.00,"Production, Planning, and Expediting Clerks"
71,2,31-1133.00,Psychiatric Aides
71,4,29-1125.00,Recreational Therapists
71,2,49-9096.00,Riggers
71,4,17-1022.00,Surveyors
71,4,17-2051.01,Transportation Engineers
71,3,11-9199.09,Wind Energy Operations Managers
70,2,33-9011.00,Animal Control Workers
70,5,29-1129.01,Art Therapists
70,3,49-2097.00,Audiovisual Equipment Installers and Repairers
70,3,17-3027.01,Automotive Engineering Technicians
70,2,43-3011.00,Bill and Account Collectors
70,3,49-9061.00,Camera and Photographic Equipment Repairers
70,4,27-1021.00,Commercial and Industrial Designers
70,4,15-1231.00,Computer Network Support Specialists
70,3,15-1232.00,Computer User Support Specialists
70,2,47-5041.00,Continuous Mining Machine Operators
70,3,13-1041.06,Coroners
70,2,43-4031.00,"Court, Municipal, and License Clerks"
70,4,15-1243.00,Database Architects
70,1,35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers
70,2,51-2022.00,Electrical and Electronic Equipment Assemblers
70,3,49-3041.00,Farm Equipment Mechanics and Service Technicians
70,4,13-2061.00,Financial Examiners
70,2,43-5011.01,Freight Forwarders
70,3,51-9071.06,Gem and Diamond Workers
70,5,21-1022.00,Healthcare Social Workers
70,2,47-3016.00,Helpers--Roofers
70,3,11-3051.06,Hydroelectric Production Managers
70,3,51-9071.00,Jewelers and Precious Stone and Metal Workers
70,2,53-4011.00,Locomotive Engineers
70,5,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists"
70,3,29-2035.00,Magnetic Resonance Imaging Technologists
70,3,31-9011.00,Massage Therapists
70,5,29-9099.01,Midwives
70,3,51-4061.00,"Model Makers, Metal and Plastic"
70,3,29-2033.00,Nuclear Medicine Technologists
70,2,51-9083.00,Ophthalmic Laboratory Technicians
70,5,29-2091.00,Orthotists and Prosthetists
70,3,17-3029.08,Photonics Technicians
70,3,47-2152.00,"Plumbers, Pipefitters, and Steamfitters"
70,4,19-4012.01,Precision Agriculture Technicians
70,3,29-2034.00,Radiologic Technologists and Technicians
70,2,53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
70,2,53-7081.00,Refuse and Recyclable Material Collectors
70,3,49-2098.00,Security and Fire Alarm Systems Installers
70,2,51-6042.00,Shoe Machine Operators and Tenders
70,4,15-1253.00,Software Quality Assurance Analysts and Testers
70,2,51-6052.00,"Tailors, Dressmakers, and Custom Sewers"
70,3,15-1241.01,Telecommunications Engineering Specialists
70,3,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products"
70,5,19-1023.00,Zoologists and Wildlife Biologists
69,2,39-2021.00,Animal Caretakers
69,3,49-3023.00,Automotive Service Technicians and Mechanics
69,4,19-2031.00,Chemists
69,4,17-2051.00,Civil Engineers
69,4,15-1211.00,Computer Systems Analysts
69,2,35-2014.00,"Cooks, Restaurant"
69,2,43-4021.00,Correspondence Clerks
69,2,47-2081.00,Drywall and Ceiling Tile Installers
69,3,49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment"
69,4,19-4042.00,"Environmental Science and Protection Technicians, Including Health"
69,2,47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles"
69,3,33-2022.00,Forest Fire Inspectors and Prevention Specialists
69,5,29-9092.00,Genetic Counselors
