Importance,Level,Job Zone,Code,Occupation
73,75,3,33-3021.02,Police Identification and Records Officers
73,74,4,17-2031.00,Bioengineers and Biomedical Engineers
73,74,3,49-9062.00,Medical Equipment Repairers
73,73,5,29-1299.01,Naturopathic Physicians
73,72,5,19-1011.00,Animal Scientists
73,72,3,49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment"
73,71,5,25-1053.00,"Environmental Science Teachers, Postsecondary"
73,70,2,53-1041.00,Aircraft Cargo Handling Supervisors
73,68,4,15-1212.00,Information Security Analysts
73,67,3,53-5031.00,Ship Engineers
73,66,3,47-2111.00,Electricians
73,66,3,51-7031.00,"Model Makers, Wood"
73,66,3,29-2052.00,Pharmacy Technicians
73,63,1,47-2051.00,Cement Masons and Concrete Finishers
73,62,2,51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders"
73,61,4,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education"
73,61,2,49-9052.00,Telecommunications Line Installers and Repairers
73,60,2,51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
72,80,5,29-1171.00,Nurse Practitioners
72,76,3,27-1022.00,Fashion Designers
72,74,5,29-1022.00,Oral and Maxillofacial Surgeons
72,73,2,31-9095.00,Pharmacy Aides
72,71,4,17-2161.00,Nuclear Engineers
72,71,5,29-1081.00,Podiatrists
72,68,3,33-2021.00,Fire Inspectors and Investigators
72,68,2,51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
72,68,3,49-9081.00,Wind Turbine Service Technicians
72,67,3,49-9092.00,Commercial Divers
72,67,2,47-5012.00,"Rotary Drill Operators, Oil and Gas"
72,66,3,51-9162.00,Computer Numerically Controlled Tool Programmers
72,66,5,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists"
72,66,2,51-9195.03,"Stone Cutters and Carvers, Manufacturing"
72,65,3,13-1041.00,Compliance Officers
72,65,3,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers
72,65,2,49-9044.00,Millwrights
72,65,4,13-1199.05,Sustainability Specialists
