Context,Job Zone,Code,Occupation
78,5,29-9099.01,Midwives
78,5,29-1161.00,Nurse Midwives
78,5,29-2091.00,Orthotists and Prosthetists
78,4,17-2199.07,Photonics Engineers
78,3,47-2152.00,"Plumbers, Pipefitters, and Steamfitters"
78,4,25-2057.00,"Special Education Teachers, Middle School"
78,3,29-9093.00,Surgical Assistants
78,3,29-2055.00,Surgical Technologists
78,4,25-3041.00,Tutors
78,5,19-3051.00,Urban and Regional Planners
78,4,17-2112.02,Validation Engineers
77,4,17-2011.00,Aerospace Engineers
77,4,17-2031.00,Bioengineers and Biomedical Engineers
77,2,51-8099.01,Biofuels Processing Technicians
77,3,29-2031.00,Cardiovascular Technologists and Technicians
77,4,19-2031.00,Chemists
77,2,39-9011.00,Childcare Workers
77,5,19-2041.01,Climate Change Policy Analysts
77,4,21-1094.00,Community Health Workers
77,4,15-1241.00,Computer Network Architects
77,2,43-4051.00,Customer Service Representatives
77,2,47-5023.00,"Earth Drillers, Except Oil and Gas"
77,4,17-2071.00,Electrical Engineers
77,2,53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators
77,5,19-3092.00,Geographers
77,2,51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
77,4,15-1212.00,Information Security Analysts
77,2,43-9041.00,Insurance Claims and Policy Processing Clerks
77,4,13-2053.00,Insurance Underwriters
77,2,37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"
77,5,23-1011.00,Lawyers
77,4,13-1081.02,Logistics Analysts
77,3,39-5091.00,"Makeup Artists, Theatrical and Performance"
77,2,53-5022.00,Motorboat Operators
77,2,47-2142.00,Paperhangers
77,3,27-4021.00,Photographers
77,4,27-3031.00,Public Relations Specialists
77,2,53-7072.00,"Pump Operators, Except Wellhead Pumpers"
77,2,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators
77,4,21-1015.00,Rehabilitation Counselors
77,3,39-9041.00,Residential Advisors
77,2,41-2031.00,Retail Salespersons
77,4,17-2199.08,Robotics Engineers
77,4,11-2022.00,Sales Managers
77,4,21-1093.00,Social and Human Service Assistants
77,3,27-4014.00,Sound Engineering Technicians
77,2,51-2061.00,Timing Device Assemblers and Adjusters
77,3,15-1254.00,Web Developers
76,3,11-3012.00,Administrative Services Managers
76,2,27-2021.00,Athletes and Sports Competitors
76,5,29-9091.00,Athletic Trainers
76,4,13-1031.00,"Claims Adjusters, Examiners, and Investigators"
76,3,49-9092.00,Commercial Divers
76,4,17-2061.00,Computer Hardware Engineers
76,1,53-7011.00,Conveyor Operators and Tenders
76,3,27-1012.00,Craft Artists
76,4,13-2071.00,Credit Counselors
76,4,15-1243.00,Database Architects
76,3,43-9031.00,Desktop Publishers
76,3,47-2111.00,Electricians
76,4,17-2199.03,"Energy Engineers, Except Wind and Solar"
76,4,17-2111.02,Fire-Prevention and Protection Engineers
76,4,19-4043.00,"Geological Technicians, Except Hydrologic Technicians"
76,4,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
76,2,47-5081.00,Helpers--Extraction Workers
76,5,19-2043.00,Hydrologists
76,2,53-7051.00,Industrial Truck and Tractor Operators
76,3,51-9071.00,Jewelers and Precious Stone and Metal Workers
76,4,13-1081.01,Logistics Engineers
76,2,43-6013.00,Medical Secretaries and Administrative Assistants
76,5,19-1029.02,Molecular and Cellular Biologists
76,3,23-2011.00,Paralegals and Legal Assistants
76,2,31-1122.00,Personal Care Aides
76,2,51-5112.00,Printing Press Operators
76,5,29-1224.00,Radiologists
76,4,41-9031.00,Sales Engineers
76,2,51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood"
75,2,47-2021.00,Brickmasons and Blockmasons
75,4,11-9199.11,Brownfield Redevelopment Specialists and Site Managers
75,4,13-2031.00,Budget Analysts
75,4,17-2051.00,Civil Engineers
75,4,11-9121.01,Clinical Research Coordinators
